Median Income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic,police_killing
32656,16.4,85.3,94.9,1.7,0.3,0.3,2.4,0.0
25203,29.3,57.8,35.8,63.8,0.0,0.0,0.6,0.0
40909,15.0,74.4,89.2,0.3,0.2,0.3,18.4,0.0
19539,31.4,63.1,32.0,36.5,0.4,0.5,36.0,0.0
54167,19.5,88.2,86.4,11.4,0.1,0.1,0.8,0.0
42821,15.0,90.9,84.4,12.6,0.5,0.0,0.9,0.0
33636,21.2,78.0,96.1,0.0,0.0,0.0,2.6,0.0
19583,41.3,71.7,51.4,46.0,0.0,0.0,0.6,0.0
45795,10.0,89.2,95.2,2.0,0.2,0.9,1.8,0.0
25795,32.1,52.0,47.8,9.0,1.1,0.1,43.1,0.0
33063,24.8,77.0,10.4,86.9,0.0,0.4,0.4,0.0
31806,20.1,79.0,77.0,21.1,0.4,0.0,0.4,0.0
32700,24.0,74.4,71.3,25.1,0.3,0.2,3.0,0.0
44620,7.9,91.3,98.5,0.5,0.2,0.2,0.5,0.0
47406,23.5,84.3,57.7,40.0,0.4,0.2,2.9,0.0
19139,32.8,79.8,83.4,14.5,0.8,0.1,0.7,0.0
25313,29.8,76.3,71.8,25.4,0.6,0.0,1.1,0.0
55313,10.7,83.9,94.2,1.2,3.1,1.2,0.4,0.0
33125,25.8,79.6,57.6,38.4,1.3,0.3,0.3,0.0
43533,11.7,86.0,80.8,14.6,0.7,0.1,1.7,0.0
51705,18.1,84.4,84.7,9.8,1.8,0.1,3.1,0.0
30833,38.1,70.4,88.7,0.4,1.9,0.2,8.3,0.0
40673,21.0,92.1,85.3,13.0,0.6,0.0,0.3,0.0
38746,21.9,85.3,93.4,0.9,0.3,0.9,8.2,0.0
52500,9.3,83.7,95.9,2.4,0.0,1.6,0.0,0.0
29368,28.8,73.7,50.2,47.5,0.3,0.6,0.9,1.0
45651,24.5,85.3,66.2,22.6,1.1,2.7,10.1,0.0
60737,11.2,95.8,84.1,11.8,0.4,1.5,2.9,0.0
63594,3.6,95.8,97.3,0.4,1.0,0.2,0.7,0.0
47639,12.9,87.8,88.8,10.3,0.0,0.9,1.9,0.0
78125,5.1,96.3,77.6,19.4,0.1,0.3,1.6,0.0
41496,21.2,82.7,66.5,21.7,0.7,0.9,12.4,0.0
27656,31.0,89.1,47.3,50.1,0.1,0.5,2.4,0.0
24107,27.9,64.8,83.1,13.9,0.0,0.0,0.4,0.0
41346,16.7,81.7,96.0,0.7,0.8,0.0,2.5,0.0
40769,17.2,82.3,85.6,12.2,0.3,0.0,0.7,0.0
42426,19.1,86.2,63.1,32.5,0.4,1.1,2.9,0.0
29063,27.5,74.5,97.3,0.6,0.8,0.2,0.4,0.0
29318,34.9,78.5,93.3,0.8,0.4,0.0,3.9,0.0
21765,30.3,79.1,59.6,35.3,0.3,0.3,0.0,0.0
42857,7.7,76.0,96.7,0.4,0.7,0.0,2.3,0.0
39688,24.2,90.6,90.8,2.5,0.0,0.0,3.2,0.0
26736,30.6,83.6,74.7,20.8,0.6,0.0,3.1,0.0
62059,0.0,91.4,96.5,0.0,0.0,1.0,3.5,0.0
41304,13.4,84.2,86.4,11.0,0.4,0.0,1.3,0.0
26818,26.5,84.1,31.0,68.4,0.1,0.0,1.0,0.0
38438,5.1,87.0,98.0,0.5,0.0,0.0,0.0,0.0
56693,4.5,84.9,94.3,0.9,0.5,0.5,3.3,0.0
26156,31.1,76.9,62.1,34.3,1.2,0.3,1.1,0.0
31190,15.8,85.8,92.9,1.4,0.3,0.8,5.3,0.0
30000,37.8,75.0,97.7,0.8,0.0,0.0,0.0,0.0
39583,11.2,78.2,85.9,12.7,1.2,0.0,0.0,0.0
40150,30.0,70.5,64.3,26.7,0.1,0.2,8.8,0.0
36250,0.0,79.3,5.7,94.3,0.0,0.0,0.0,0.0
91054,8.2,90.9,87.1,11.0,0.2,0.6,1.6,0.0
54450,16.3,89.2,69.4,20.7,0.5,2.0,8.8,0.0
25000,24.8,81.6,8.9,91.1,0.0,0.0,0.0,0.0
40417,32.3,80.6,74.1,25.9,0.0,0.0,0.0,0.0
32845,25.3,81.5,51.0,44.6,0.5,0.6,4.3,1.0
42023,0.0,96.1,91.4,7.4,0.0,0.4,1.6,0.0
22377,32.7,73.2,18.1,80.2,0.1,0.4,1.3,0.0
39868,11.1,91.2,96.3,0.0,0.4,0.2,0.4,0.0
18661,52.6,79.2,34.8,62.4,0.2,0.2,2.3,0.0
34375,18.6,86.0,91.1,5.0,1.4,0.0,0.7,0.0
34890,23.4,88.9,4.2,94.6,0.0,0.0,1.1,0.0
32269,0.0,57.6,61.3,17.7,19.9,0.0,0.0,0.0
61489,11.2,95.4,91.1,6.2,0.2,0.7,2.8,0.0
37750,24.0,82.0,95.5,0.2,0.0,0.4,11.2,0.0
33846,26.0,65.1,92.1,3.4,1.1,0.1,2.2,0.0
20625,30.2,85.7,67.3,32.7,0.0,0.0,0.0,0.0
30646,25.9,79.1,73.4,24.3,0.3,0.3,1.4,0.0
34632,15.3,68.5,97.2,1.3,0.3,0.0,0.3,0.0
45000,20.4,61.9,46.8,52.5,0.0,0.0,0.0,0.0
24406,30.2,77.3,69.5,27.2,1.6,0.1,2.3,0.0
25673,30.1,79.6,80.1,15.8,0.8,0.4,2.8,0.0
35731,24.6,84.4,75.0,19.4,0.4,1.4,3.6,0.0
40938,18.9,91.5,77.1,14.9,0.6,1.1,9.5,0.0
48654,17.0,93.5,26.2,71.4,0.2,0.2,1.4,0.0
19063,48.1,74.1,11.9,87.4,0.2,0.0,0.8,0.0
23963,30.2,70.5,23.7,75.5,0.1,0.1,0.4,0.0
38833,19.0,67.7,77.6,4.2,0.9,0.8,20.9,0.0
59265,8.0,98.8,77.7,11.9,0.8,1.3,13.2,0.0
60417,6.6,85.0,47.7,49.7,0.0,1.3,0.0,0.0
66591,18.4,88.6,87.9,11.6,0.0,0.0,0.0,0.0
17311,31.3,77.3,45.4,49.3,1.3,0.0,1.8,0.0
63125,33.0,93.3,70.3,28.6,0.0,0.0,1.6,0.0
35625,13.5,75.8,98.2,0.0,1.1,0.4,0.0,0.0
32083,19.9,76.0,84.9,11.0,0.0,0.7,3.3,0.0
51587,14.0,85.1,75.1,16.6,0.4,1.0,10.8,0.0
42356,12.8,83.7,94.0,0.3,1.5,0.7,1.3,0.0
29136,29.4,78.3,57.3,36.3,0.4,0.6,5.4,1.0
14444,40.9,76.7,16.3,82.2,0.0,0.0,0.0,0.0
45859,3.9,83.7,96.7,0.2,0.6,0.0,1.6,0.0
47000,8.3,85.6,77.0,23.0,0.0,0.0,0.0,0.0
31591,19.3,79.8,98.2,0.2,0.4,0.0,0.4,0.0
56132,7.8,92.2,88.4,8.6,0.3,1.2,1.5,0.0
26818,19.3,78.4,96.5,0.0,0.0,0.0,3.5,0.0
45125,19.5,71.3,26.5,73.5,0.0,0.0,2.9,0.0
29912,30.3,78.1,83.2,14.0,0.4,0.4,1.8,0.0
19969,35.5,71.1,33.1,65.4,0.3,0.1,0.3,0.0
42292,13.8,84.2,93.5,0.3,3.7,0.0,2.0,0.0
33750,21.5,83.8,77.2,21.9,0.0,0.5,0.0,0.0
24531,21.4,76.5,89.4,9.4,0.2,0.2,0.2,0.0
46691,11.1,86.6,96.5,1.3,0.3,0.5,0.8,0.0
36000,13.6,84.8,70.1,29.9,0.0,0.0,0.0,0.0
46250,9.3,86.7,100.0,0.0,0.0,0.0,5.5,0.0
47754,15.2,86.5,92.7,0.3,0.4,0.5,7.7,0.0
23809,32.2,71.6,24.3,73.7,0.7,0.0,0.7,0.0
